Date,IncidenceOfDepression,PrevalenceOfDepression
2015-04-21,18,93
2015-04-22,8,49
2015-04-23,10,70
2015-04-24,11,74
2015-04-25,1,2
2015-04-26,1,1
2015-04-27,6,67
2015-04-28,11,61
2015-04-29,6,61
2015-04-30,9,69
2015-05-01,17,59
2015-05-02,0,1
2015-05-03,0,0
2015-05-04,1,2
2015-05-05,13,71
2015-05-06,5,48
2015-05-07,8,74
2015-05-08,7,64
2015-05-09,0,0
2015-05-10,0,0
2015-05-11,11,57
2015-05-12,11,54
2015-05-13,16,63
2015-05-14,10,62
2015-05-15,8,56
2015-05-16,0,2
2015-05-17,0,1
2015-05-18,18,78
2015-05-19,13,63
2015-05-20,20,75
2015-05-21,10,64
2015-05-22,10,51
2015-05-23,0,0
2015-05-24,0,0
2015-05-25,0,0
2015-05-26,12,63
2015-05-27,5,63
2015-05-28,10,49
2015-05-29,9,59
2015-05-30,0,0
2015-05-31,0,1
2015-06-01,25,81
2015-06-02,13,72
2015-06-03,16,57
2015-06-04,10,59
2015-06-05,6,48
2015-06-06,1,1
2015-06-07,1,2
2015-06-08,20,71
2015-06-09,8,72
2015-06-10,10,53
2015-06-11,7,67
2015-06-12,10,59
2015-06-13,0,1
2015-06-14,1,1
2015-06-15,12,58
2015-06-16,11,67
2015-06-17,6,64
2015-06-18,18,74
2015-06-19,13,62
2015-06-20,1,1
2015-06-21,0,0
2015-06-22,13,74
2015-06-23,14,72
2015-06-24,9,55
2015-06-25,7,51
2015-06-26,11,51
2015-06-27,0,2
2015-06-28,0,0
2015-06-29,10,68
2015-06-30,11,61
2015-07-01,8,60
2015-07-02,11,65
2015-07-03,14,51
2015-07-04,0,1
2015-07-05,0,1
2015-07-06,17,65
2015-07-07,14,70
2015-07-08,6,48
2015-07-09,15,68
2015-07-10,13,45
2015-07-11,0,0
2015-07-12,0,0
2015-07-13,8,62
2015-07-14,10,88
2015-07-15,13,64
2015-07-16,11,67
2015-07-17,9,60
2015-07-18,0,0
2015-07-19,0,0
2015-07-20,13,64
2015-07-21,12,70
2015-07-22,11,58
2015-07-23,14,84
2015-07-24,10,65
2015-07-25,0,1
2015-07-26,0,2
2015-07-27,19,66
2015-07-28,7,68
2015-07-29,11,64
2015-07-30,9,64
2015-07-31,7,53
2015-08-01,2,4
2015-08-02,0,0
2015-08-03,10,62
2015-08-04,17,67
2015-08-05,13,76
2015-08-06,12,60
2015-08-07,6,46
2015-08-08,0,0
2015-08-09,0,0
2015-08-10,12,62
2015-08-11,16,64
2015-08-12,11,66
2015-08-13,7,61
2015-08-14,11,53
2015-08-15,1,3
2015-08-16,0,0
2015-08-17,12,51
2015-08-18,7,48
2015-08-19,9,68
2015-08-20,15,59
2015-08-21,10,53
2015-08-22,0,1
2015-08-23,0,1
2015-08-24,13,72
2015-08-25,13,80
2015-08-26,13,78
2015-08-27,10,56
2015-08-28,9,69
2015-08-29,1,3
2015-08-30,0,0
2015-08-31,1,1
2015-09-01,14,64
2015-09-02,12,74
2015-09-03,7,73
2015-09-04,5,56
2015-09-05,0,1
2015-09-06,0,1
2015-09-07,12,59
2015-09-08,16,77
2015-09-09,5,54
2015-09-10,15,70
2015-09-11,11,63
2015-09-12,2,2
2015-09-13,0,0
2015-09-14,13,74
2015-09-15,14,72
2015-09-16,15,72
2015-09-17,13,62
2015-09-18,16,70
2015-09-19,0,0
2015-09-20,0,0
2015-09-21,8,63
2015-09-22,13,62
2015-09-23,15,71
2015-09-24,8,61
2015-09-25,9,50
2015-09-26,0,2
2015-09-27,0,0
2015-09-28,14,82
2015-09-29,12,75
2015-09-30,14,85
2015-10-01,11,58
2015-10-02,4,50
2015-10-03,2,2
2015-10-04,0,0
2015-10-05,17,74
2015-10-06,11,67
2015-10-07,15,82
2015-10-08,16,88
2015-10-09,13,52
2015-10-10,0,1
2015-10-11,0,0
2015-10-12,16,81
2015-10-13,13,72
2015-10-14,9,46
2015-10-15,15,76
2015-10-16,9,57
2015-10-17,1,1
2015-10-18,0,1
2015-10-19,13,74
2015-10-20,13,81
2015-10-21,12,74
2015-10-22,17,85
2015-10-23,9,69
2015-10-24,0,0
2015-10-25,0,0
2015-10-26,10,75
2015-10-27,11,70
2015-10-28,12,69
2015-10-29,14,77
2015-10-30,14,64
2015-10-31,1,2
2015-11-01,0,1
2015-11-02,14,69
2015-11-03,24,99
2015-11-04,18,69
2015-11-05,17,77
2015-11-06,10,65
2015-11-07,1,2
2015-11-08,0,0
2015-11-09,15,84
2015-11-10,10,48
2015-11-11,8,65
2015-11-12,12,85
2015-11-13,16,62
2015-11-14,0,2
2015-11-15,0,1
2015-11-16,16,95
2015-11-17,7,46
2015-11-18,27,87
2015-11-19,13,77
2015-11-20,14,56
2015-11-21,0,1
2015-11-22,0,0
2015-11-23,21,83
2015-11-24,19,77
2015-11-25,13,68
2015-11-26,12,80
2015-11-27,10,56
2015-11-28,0,0
2015-11-29,0,0
2015-11-30,9,61
2015-12-01,9,59
2015-12-02,9,66
2015-12-03,15,87
2015-12-04,11,55
2015-12-05,0,3
2015-12-06,0,1
2015-12-07,9,65
2015-12-08,10,68
2015-12-09,13,79
2015-12-10,11,63
2015-12-11,19,70
2015-12-12,2,4
2015-12-13,0,0
2015-12-14,10,62
2015-12-15,12,87
2015-12-16,15,75
2015-12-17,14,71
2015-12-18,11,73
2015-12-19,1,1
2015-12-20,0,0
2015-12-21,15,89
2015-12-22,13,75
2015-12-23,7,40
2015-12-24,8,30
2015-12-25,0,0
2015-12-26,0,1
2015-12-27,0,0
2015-12-28,0,0
2015-12-29,11,57
2015-12-30,10,42
2015-12-31,3,32
2016-01-01,28,37
2016-01-02,0,1
2016-01-03,2,2
2016-01-04,16,96
2016-01-05,24,85
2016-01-06,9,67
2016-01-07,18,85
2016-01-08,8,58
2016-01-09,2,4
2016-01-10,0,0
2016-01-11,20,80
2016-01-12,14,72
2016-01-13,11,87
2016-01-14,20,97
2016-01-15,23,84
2016-01-16,2,3
2016-01-17,0,0
2016-01-18,20,98
2016-01-19,17,85
2016-01-20,12,64
2016-01-21,9,79
2016-01-22,11,59
2016-01-23,0,0
2016-01-24,0,1
2016-01-25,14,79
2016-01-26,10,64
2016-01-27,7,60
2016-01-28,15,91
2016-01-29,12,80
2016-01-30,1,2
2016-01-31,0,1
2016-02-01,15,91
2016-02-02,15,95
2016-02-03,14,64
2016-02-04,16,77
2016-02-05,16,70
2016-02-06,1,2
2016-02-07,0,0
2016-02-08,11,102
2016-02-09,11,77
2016-02-10,15,71
2016-02-11,11,71
2016-02-12,13,58
2016-02-13,0,4
2016-02-14,0,1
2016-02-15,14,88
2016-02-16,19,78
2016-02-17,16,75
2016-02-18,11,64
2016-02-19,13,62
2016-02-20,1,3
2016-02-21,0,1
2016-02-22,24,104
2016-02-23,14,86
2016-02-24,14,77
2016-02-25,9,72
2016-02-26,16,65
2016-02-27,1,2
2016-02-28,1,4
2016-02-29,15,108
2016-03-01,13,93
2016-03-02,16,71
2016-03-03,13,71
2016-03-04,14,70
2016-03-05,0,1
2016-03-06,0,1
2016-03-07,13,93
2016-03-08,17,74
2016-03-09,12,75
2016-03-10,24,93
2016-03-11,16,71
2016-03-12,1,2
2016-03-13,0,2
2016-03-14,14,77
2016-03-15,12,86
2016-03-16,15,63
2016-03-17,10,71
2016-03-18,11,72
2016-03-19,2,2
2016-03-20,0,0
2016-03-21,13,83
2016-03-22,21,94
2016-03-23,11,102
2016-03-24,5,67
2016-03-25,0,1
2016-03-26,1,2
2016-03-27,0,0
2016-03-28,0,0
2016-03-29,9,93
2016-03-30,8,73
2016-03-31,15,92
2016-04-01,11,64
2016-04-02,0,0
2016-04-03,0,1
2016-04-04,13,75
2016-04-05,5,77
2016-04-06,11,59
2016-04-07,11,65
2016-04-08,6,47
2016-04-09,0,0
2016-04-10,0,0
2016-04-11,16,70
2016-04-12,12,80
2016-04-13,7,69
2016-04-14,11,69
2016-04-15,13,58
2016-04-16,0,0
2016-04-17,1,1
2016-04-18,15,95
2016-04-19,16,78
2016-04-20,15,84
2016-04-21,14,78
2016-04-22,5,51
2016-04-23,2,3
2016-04-24,0,0
2016-04-25,17,94
2016-04-26,19,79
2016-04-27,10,61
2016-04-28,14,78
2016-04-29,15,81
2016-04-30,0,0
2016-05-01,0,1
2016-05-02,1,3
2016-05-03,20,93
2016-05-04,12,86
2016-05-05,6,56
2016-05-06,11,62
2016-05-07,1,3
2016-05-08,0,0
2016-05-09,14,74
2016-05-10,13,82
2016-05-11,14,72
2016-05-12,8,59
2016-05-13,15,77
2016-05-14,0,1
2016-05-15,0,1
2016-05-16,9,91
2016-05-17,21,101
2016-05-18,16,77
2016-05-19,17,86
2016-05-20,10,73
2016-05-21,0,0
2016-05-22,1,1
2016-05-23,9,67
2016-05-24,15,73
2016-05-25,9,70
2016-05-26,14,75
2016-05-27,16,80
2016-05-28,0,2
2016-05-29,0,0
2016-05-30,0,0
2016-05-31,6,64
2016-06-01,9,49
2016-06-02,14,69
2016-06-03,9,60
2016-06-04,0,1
2016-06-05,0,2
2016-06-06,11,72
2016-06-07,17,67
2016-06-08,12,68
2016-06-09,10,71
2016-06-10,12,69
2016-06-11,1,1
2016-06-12,0,1
2016-06-13,13,69
2016-06-14,9,63
2016-06-15,16,67
2016-06-16,15,83
2016-06-17,11,68
2016-06-18,0,1
2016-06-19,0,0
2016-06-20,15,100
2016-06-21,8,78
2016-06-22,16,71
2016-06-23,14,80
2016-06-24,12,57
2016-06-25,0,1
2016-06-26,0,0
2016-06-27,10,74
2016-06-28,14,88
2016-06-29,6,70
2016-06-30,19,85
2016-07-01,16,55
2016-07-02,1,2
2016-07-03,0,1
2016-07-04,10,75
2016-07-05,11,78
2016-07-06,9,64
2016-07-07,19,72
2016-07-08,10,63
2016-07-09,1,2
2016-07-10,0,0
2016-07-11,9,83
2016-07-12,23,81
2016-07-13,15,72
2016-07-14,10,67
2016-07-15,15,72
2016-07-16,1,3
2016-07-17,2,3
2016-07-18,16,80
2016-07-19,9,61
2016-07-20,9,57
2016-07-21,10,91
2016-07-22,16,56
2016-07-23,0,1
2016-07-24,0,1
2016-07-25,6,64
2016-07-26,16,84
2016-07-27,8,53
2016-07-28,13,73
2016-07-29,14,77
2016-07-30,0,1
2016-07-31,0,0
2016-08-01,12,74
2016-08-02,15,84
2016-08-03,17,82
2016-08-04,10,61
2016-08-05,8,50
2016-08-06,1,3
2016-08-07,1,1
2016-08-08,15,63
2016-08-09,7,57
2016-08-10,14,74
2016-08-11,14,72
2016-08-12,13,54
2016-08-13,2,2
2016-08-14,0,0
2016-08-15,16,80
2016-08-16,10,58
2016-08-17,10,68
2016-08-18,11,66
2016-08-19,12,59
2016-08-20,0,2
2016-08-21,0,1
2016-08-22,12,70
2016-08-23,9,68
2016-08-24,11,57
2016-08-25,11,66
2016-08-26,11,53
2016-08-27,2,4
2016-08-28,0,0
2016-08-29,0,1
2016-08-30,11,83
2016-08-31,18,79
2016-09-01,10,79
2016-09-02,6,60
2016-09-03,0,0
2016-09-04,0,0
2016-09-05,19,92
2016-09-06,14,77
2016-09-07,9,64
2016-09-08,13,70
2016-09-09,9,66
2016-09-10,0,1
2016-09-11,0,1
2016-09-12,14,84
2016-09-13,22,87
2016-09-14,13,77
2016-09-15,15,90
2016-09-16,15,54
2016-09-17,0,2
2016-09-18,0,0
2016-09-19,13,83
2016-09-20,23,91
2016-09-21,9,84
2016-09-22,14,81
2016-09-23,9,66
2016-09-24,0,0
2016-09-25,1,1
2016-09-26,22,93
2016-09-27,17,90
2016-09-28,8,85
2016-09-29,15,74
2016-09-30,12,61
2016-10-01,0,2
2016-10-02,0,0
2016-10-03,24,86
2016-10-04,6,65
2016-10-05,11,76
2016-10-06,12,66
2016-10-07,17,79
2016-10-08,0,0
2016-10-09,0,0
2016-10-10,19,91
2016-10-11,12,86
2016-10-12,12,79
2016-10-13,11,68
2016-10-14,10,57
2016-10-15,0,3
2016-10-16,1,1
2016-10-17,17,89
2016-10-18,14,82
2016-10-19,9,65
2016-10-20,14,92
2016-10-21,9,57
2016-10-22,0,1
2016-10-23,0,0
2016-10-24,22,85
2016-10-25,11,60
2016-10-26,6,72
2016-10-27,13,85
2016-10-28,12,57
2016-10-29,0,1
2016-10-30,0,1
2016-10-31,15,89
2016-11-01,23,88
2016-11-02,8,50
2016-11-03,24,85
2016-11-04,8,69
2016-11-05,0,0
2016-11-06,0,0
2016-11-07,15,93
2016-11-08,13,76
2016-11-09,10,68
2016-11-10,14,79
2016-11-11,19,78
2016-11-12,1,3
2016-11-13,1,1
2016-11-14,16,90
2016-11-15,17,101
2016-11-16,12,87
2016-11-17,12,84
2016-11-18,11,68
2016-11-19,0,0
2016-11-20,0,0
2016-11-21,11,72
2016-11-22,14,62
2016-11-23,15,87
2016-11-24,11,90
2016-11-25,18,73
2016-11-26,1,1
2016-11-27,0,0
2016-11-28,16,95
2016-11-29,12,79
2016-11-30,16,79
2016-12-01,8,78
2016-12-02,11,70
2016-12-03,1,2
2016-12-04,1,1
2016-12-05,20,103
2016-12-06,18,87
2016-12-07,15,81
2016-12-08,12,78
2016-12-09,8,63
2016-12-10,0,1
2016-12-11,0,0
2016-12-12,12,80
2016-12-13,12,85
2016-12-14,12,66
2016-12-15,9,78
2016-12-16,13,59
2016-12-17,1,2
2016-12-18,1,1
2016-12-19,13,81
2016-12-20,8,68
2016-12-21,8,63
2016-12-22,13,72
2016-12-23,6,47
2016-12-24,0,0
2016-12-25,0,0
2016-12-26,0,0
2016-12-27,0,0
2016-12-28,7,49
2016-12-29,12,59
2016-12-30,12,61
2016-12-31,0,1
2017-01-01,16,24
2017-01-02,0,0
2017-01-03,7,67
2017-01-04,12,68
2017-01-05,20,102
2017-01-06,17,79
2017-01-07,0,0
2017-01-08,0,0
2017-01-09,15,85
2017-01-10,15,94
2017-01-11,12,65
2017-01-12,11,88
2017-01-13,19,80
2017-01-14,0,2
2017-01-15,0,0
2017-01-16,22,98
2017-01-17,14,110
2017-01-18,11,95
2017-01-19,7,81
2017-01-20,8,70
2017-01-21,1,2
2017-01-22,0,0
2017-01-23,17,92
2017-01-24,15,77
2017-01-25,7,62
2017-01-26,10,92
2017-01-27,14,70
2017-01-28,1,3
2017-01-29,0,0
2017-01-30,13,66
2017-01-31,28,86
2017-02-01,9,67
2017-02-02,20,121
2017-02-03,8,65
2017-02-04,0,3
2017-02-05,0,0
2017-02-06,12,92
2017-02-07,18,83
2017-02-08,12,80
2017-02-09,15,99
2017-02-10,8,74
2017-02-11,0,1
2017-02-12,0,0
2017-02-13,7,83
2017-02-14,25,81
2017-02-15,10,76
2017-02-16,12,85
2017-02-17,11,74
2017-02-18,2,4
2017-02-19,0,0
2017-02-20,15,90
2017-02-21,15,81
2017-02-22,15,64
2017-02-23,10,70
2017-02-24,14,63
2017-02-25,0,6
2017-02-26,0,0
2017-02-27,16,90
2017-02-28,10,82
2017-03-01,14,81
2017-03-02,19,94
2017-03-03,14,78
2017-03-04,0,1
2017-03-05,0,0
2017-03-06,13,102
2017-03-07,20,113
2017-03-08,6,75
2017-03-09,11,101
2017-03-10,20,89
2017-03-11,3,4
2017-03-12,0,1
2017-03-13,15,91
2017-03-14,16,79
2017-03-15,13,86
2017-03-16,18,100
2017-03-17,10,62
2017-03-18,0,2
2017-03-19,0,0
2017-03-20,16,86
2017-03-21,7,98
2017-03-22,11,81
2017-03-23,16,115
2017-03-24,19,83
2017-03-25,2,3
2017-03-26,0,1
2017-03-27,15,82
2017-03-28,9,80
2017-03-29,7,67
2017-03-30,16,104
2017-03-31,14,81
2017-04-01,3,9
2017-04-02,0,1
2017-04-03,12,80
2017-04-04,15,92
2017-04-05,8,79
2017-04-06,15,110
2017-04-07,12,60
2017-04-08,1,4
2017-04-09,0,0
2017-04-10,8,95
2017-04-11,10,85
2017-04-12,10,82
2017-04-13,13,93
2017-04-14,0,1
2017-04-15,0,1
2017-04-16,1,1
2017-04-17,0,0
2017-04-18,8,105
2017-04-19,10,84
2017-04-20,12,101
2017-04-21,10,88
2017-04-22,1,2
2017-04-23,0,0
2017-04-24,18,95
2017-04-25,12,92
2017-04-26,19,92
2017-04-27,10,96
2017-04-28,12,79
2017-04-29,0,2
2017-04-30,0,0
2017-05-01,1,1
2017-05-02,16,94
2017-05-03,14,82
2017-05-04,19,76
2017-05-05,14,88
2017-05-06,2,2
2017-05-07,0,1
2017-05-08,22,92
2017-05-09,18,113
2017-05-10,16,95
2017-05-11,9,79
2017-05-12,10,71
2017-05-13,0,1
2017-05-14,1,1
2017-05-15,13,82
2017-05-16,13,103
2017-05-17,16,74
2017-05-18,17,98
2017-05-19,11,80
2017-05-20,0,1
2017-05-21,0,0
2017-05-22,9,83
2017-05-23,10,87
2017-05-24,11,75
2017-05-25,7,91
2017-05-26,11,49
2017-05-27,1,3
2017-05-28,0,0
2017-05-29,1,1
2017-05-30,15,87
2017-05-31,21,87
2017-06-01,8,74
2017-06-02,11,59
2017-06-03,0,2
2017-06-04,0,0
2017-06-05,16,83
2017-06-06,25,96
2017-06-07,12,63
2017-06-08,11,71
2017-06-09,9,60
2017-06-10,1,4
2017-06-11,0,0
2017-06-12,12,90
2017-06-13,13,73
2017-06-14,10,86
2017-06-15,12,90
2017-06-16,15,75
2017-06-17,1,1
2017-06-18,0,0
2017-06-19,11,68
2017-06-20,8,84
2017-06-21,8,91
2017-06-22,15,80
2017-06-23,4,66
2017-06-24,2,2
2017-06-25,0,0
2017-06-26,14,86
2017-06-27,16,83
2017-06-28,7,64
2017-06-29,18,86
2017-06-30,10,73
2017-07-01,4,6
2017-07-02,0,1
2017-07-03,13,95
2017-07-04,20,88
2017-07-05,12,82
2017-07-06,14,91
2017-07-07,16,84
2017-07-08,0,0
2017-07-09,0,1
2017-07-10,13,86
2017-07-11,24,104
2017-07-12,14,79
2017-07-13,13,81
2017-07-14,12,68
2017-07-15,1,3
2017-07-16,1,2
2017-07-17,14,94
2017-07-18,13,86
2017-07-19,8,81
2017-07-20,21,100
2017-07-21,13,91
2017-07-22,1,3
2017-07-23,0,0
2017-07-24,14,75
2017-07-25,19,91
2017-07-26,10,74
2017-07-27,7,94
2017-07-28,5,68
2017-07-29,0,1
2017-07-30,0,0
2017-07-31,18,88
2017-08-01,15,104
2017-08-02,5,73
2017-08-03,13,83
2017-08-04,10,81
2017-08-05,0,1
2017-08-06,0,1
2017-08-07,20,78
2017-08-08,13,87
2017-08-09,7,91
2017-08-10,13,85
2017-08-11,16,85
2017-08-12,0,4
2017-08-13,0,0
2017-08-14,12,77
2017-08-15,17,96
2017-08-16,12,75
2017-08-17,14,67
2017-08-18,13,81
2017-08-19,0,1
2017-08-20,0,1
2017-08-21,15,81
2017-08-22,9,87
2017-08-23,12,66
2017-08-24,7,91
2017-08-25,11,66
2017-08-26,0,1
2017-08-27,0,1
2017-08-28,0,0
2017-08-29,8,74
2017-08-30,16,79
2017-08-31,14,89
2017-09-01,15,88
2017-09-02,0,3
2017-09-03,0,0
2017-09-04,18,100
2017-09-05,14,82
2017-09-06,10,72
2017-09-07,16,102
2017-09-08,14,84
2017-09-09,1,2
2017-09-10,0,3
2017-09-11,16,97
2017-09-12,18,105
2017-09-13,9,73
2017-09-14,17,88
2017-09-15,8,66
2017-09-16,0,2
2017-09-17,0,1
2017-09-18,16,88
2017-09-19,12,67
2017-09-20,18,89
2017-09-21,12,90
2017-09-22,17,69
2017-09-23,1,3
2017-09-24,0,0
2017-09-25,14,100
2017-09-26,17,92
2017-09-27,20,87
2017-09-28,16,93
2017-09-29,15,75
2017-09-30,0,0
2017-10-01,1,2
2017-10-02,16,87
2017-10-03,14,84
2017-10-04,20,98
2017-10-05,18,101
2017-10-06,16,82
2017-10-07,0,0
2017-10-08,0,3
2017-10-09,16,94
2017-10-10,18,99
2017-10-11,19,99
2017-10-12,16,90
2017-10-13,15,66
2017-10-14,0,0
2017-10-15,0,1
2017-10-16,19,110
2017-10-17,19,89
2017-10-18,16,86
2017-10-19,15,107
2017-10-20,19,82
2017-10-21,1,3
2017-10-22,0,0
2017-10-23,14,87
2017-10-24,14,81
2017-10-25,10,69
2017-10-26,15,96
2017-10-27,15,65
2017-10-28,0,2
2017-10-29,1,5
2017-10-30,13,93
2017-10-31,9,85
2017-11-01,21,111
2017-11-02,20,103
2017-11-03,14,77
2017-11-04,0,2
2017-11-05,0,0
2017-11-06,21,86
2017-11-07,10,69
2017-11-08,11,82
2017-11-09,26,120
2017-11-10,16,72
2017-11-11,0,1
2017-11-12,0,3
2017-11-13,18,93
2017-11-14,9,105
2017-11-15,13,101
2017-11-16,17,99
2017-11-17,15,73
2017-11-18,0,3
2017-11-19,0,0
2017-11-20,21,89
2017-11-21,18,107
2017-11-22,14,88
2017-11-23,21,102
2017-11-24,16,89
2017-11-25,1,1
2017-11-26,0,0
2017-11-27,17,102
2017-11-28,17,94
2017-11-29,13,87
2017-11-30,19,99
2017-12-01,15,74
2017-12-02,0,5
2017-12-03,1,2
2017-12-04,14,97
2017-12-05,15,87
2017-12-06,14,94
2017-12-07,11,89
2017-12-08,12,78
2017-12-09,0,2
2017-12-10,1,1
2017-12-11,6,88
2017-12-12,11,93
2017-12-13,13,89
2017-12-14,19,90
2017-12-15,15,76
2017-12-16,0,3
2017-12-17,0,1
2017-12-18,4,75
2017-12-19,11,86
2017-12-20,10,94
2017-12-21,15,71
2017-12-22,9,47
2017-12-23,0,1
2017-12-24,0,0
2017-12-25,0,0
2017-12-26,0,0
2017-12-27,13,47
2017-12-28,7,41
2017-12-29,7,53
2017-12-30,0,0
2017-12-31,0,0
2018-01-01,3,10
2018-01-02,20,68
2018-01-03,16,83
2018-01-04,16,92
2018-01-05,10,73
2018-01-06,1,4
2018-01-07,0,2
2018-01-08,13,82
2018-01-09,13,91
2018-01-10,8,84
2018-01-11,15,79
2018-01-12,18,78
2018-01-13,0,0
2018-01-14,0,1
2018-01-15,16,108
2018-01-16,22,114
2018-01-17,17,98
2018-01-18,15,112
2018-01-19,8,68
2018-01-20,0,3
2018-01-21,0,2
2018-01-22,26,94
2018-01-23,12,96
2018-01-24,19,87
2018-01-25,16,82
2018-01-26,25,88
2018-01-27,0,1
2018-01-28,0,0
2018-01-29,14,74
2018-01-30,20,95
2018-01-31,25,101
2018-02-01,10,100
2018-02-02,16,82
2018-02-03,2,3
2018-02-04,0,1
2018-02-05,10,99
2018-02-06,23,100
2018-02-07,10,95
2018-02-08,14,99
2018-02-09,11,75
2018-02-10,2,5
2018-02-11,0,0
2018-02-12,16,82
2018-02-13,15,88
2018-02-14,15,90
2018-02-15,8,64
2018-02-16,9,82
2018-02-17,0,3
2018-02-18,1,5
2018-02-19,21,89
2018-02-20,15,91
2018-02-21,18,74
2018-02-22,21,95
2018-02-23,16,60
2018-02-24,0,0
2018-02-25,0,0
2018-02-26,13,82
2018-02-27,10,88
2018-02-28,15,82
2018-03-01,13,108
2018-03-02,11,74
2018-03-03,1,3
2018-03-04,0,1
2018-03-05,16,98
2018-03-06,15,83
2018-03-07,17,96
2018-03-08,20,98
2018-03-09,13,87
2018-03-10,1,1
2018-03-11,0,0
2018-03-12,19,114
2018-03-13,19,112
2018-03-14,18,94
2018-03-15,12,77
2018-03-16,12,91
2018-03-17,0,0
2018-03-18,0,1
2018-03-19,16,98
2018-03-20,11,92
2018-03-21,15,75
2018-03-22,15,91
2018-03-23,19,78
2018-03-24,0,0
2018-03-25,0,2
2018-03-26,10,89
2018-03-27,17,108
2018-03-28,11,88
2018-03-29,9,86
2018-03-30,0,0
2018-03-31,0,1
2018-04-01,0,1
2018-04-02,0,0
2018-04-03,11,95
2018-04-04,14,108
2018-04-05,16,111
2018-04-06,8,78
2018-04-07,0,3
2018-04-08,0,0
2018-04-09,22,94
2018-04-10,17,99
2018-04-11,9,85
2018-04-12,12,90
2018-04-13,21,100
2018-04-14,0,0
2018-04-15,0,0
2018-04-16,14,103
2018-04-17,24,108
2018-04-18,22,107
2018-04-19,17,99
2018-04-20,14,75
2018-04-21,0,2
2018-04-22,1,2
2018-04-23,15,86
2018-04-24,12,92
2018-04-25,19,110
2018-04-26,19,109
2018-04-27,18,81
2018-04-28,0,1
2018-04-29,1,1
2018-04-30,17,95
2018-05-01,14,107
2018-05-02,19,90
2018-05-03,18,110
2018-05-04,14,83
2018-05-05,0,2
2018-05-06,0,1
2018-05-07,1,1
2018-05-08,16,96
2018-05-09,13,95
2018-05-10,21,126
2018-05-11,12,81
2018-05-12,1,3
2018-05-13,0,1
2018-05-14,18,109
2018-05-15,16,87
2018-05-16,17,95
2018-05-17,21,115
2018-05-18,13,87
2018-05-19,3,5
2018-05-20,0,0
2018-05-21,23,120
2018-05-22,10,96
2018-05-23,13,88
2018-05-24,13,109
2018-05-25,11,86
2018-05-26,0,2
2018-05-27,1,1
2018-05-28,1,2
2018-05-29,11,98
2018-05-30,18,97
2018-05-31,16,92
2018-06-01,17,87
2018-06-02,0,1
2018-06-03,1,1
2018-06-04,20,101
2018-06-05,13,93
2018-06-06,21,84
2018-06-07,8,89
2018-06-08,17,102
2018-06-09,1,1
2018-06-10,0,3
2018-06-11,22,112
2018-06-12,14,106
2018-06-13,19,100
2018-06-14,18,109
2018-06-15,8,90
2018-06-16,0,2
2018-06-17,0,1
2018-06-18,18,109
2018-06-19,20,105
2018-06-20,10,76
2018-06-21,14,87
